weight,quality,color,clarity,depth_percent,table_percent,price,volume
0.72,Premium,D,VS2,0.61,0.59,7.909,116.25049799999998
0.7,Very Good,G,SI2,0.607,0.58,7.669,115.387776
0.31,Premium,H,IF,0.604,0.58,6.884,52.161921
0.3,Ideal,F,IF,0.62,0.56,6.787,50.014964
0.31,Premium,H,SI1,0.59,0.57,6.351,50.98896000000001
2.0,Very Good,H,SI1,0.632,0.58,9.679,316.47837
1.52,Premium,H,SI1,0.621,0.59,9.162,244.12752
0.9,Premium,E,SI2,0.626,0.6,8.188,144.52300799999998
1.01,Very Good,G,VS1,0.631,0.57,8.844,161.94304799999998
0.27,Very Good,F,VVS2,0.613,0.62,6.314,44.62080000000001
0.71,Premium,I,VS1,0.625,0.59,7.697,117.54035000000002
1.2,Premium,H,VS2,0.606,0.58,8.805,194.72464
2.0,Premium,I,SI2,0.613,0.59,9.562,326.885349
0.34,Very Good,D,SI1,0.62,0.56,6.439,54.65379599999999
0.42,Ideal,F,VVS2,0.611,0.57,7.107,68.81996000000001
0.5,Very Good,E,SI2,0.614,0.58,7.051,81.410987
1.01,Good,G,SI2,0.636,0.58,8.196,161.984641
1.2,Ideal,G,SI2,0.622,0.56,8.61,194.548752
0.31,Ideal,G,VVS1,0.612,0.56,6.704,50.754564
0.62,Ideal,I,SI1,0.619,0.54,7.148,102.476
1.01,Good,G,VVS2,0.632,0.59,8.926,162.60578399999997
0.35,Ideal,E,VS2,0.62,0.56,6.557,56.497221
1.11,Ideal,F,SI2,0.617,0.55,8.506,181.03878
0.95,Premium,G,SI2,0.626,0.58,8.065,149.145648
0.31,Premium,E,VVS1,0.615,0.58,6.896,50.94546
0.71,Premium,J,VVS2,0.603,0.59,7.519,117.9423
1.51,Ideal,G,VVS2,0.621,0.58,9.65,243.595516
0.37,Ideal,I,SI1,0.607,0.6,6.277,59.5056
0.28,Very Good,D,VVS2,0.64,0.56,6.277,45.921708
0.31,Very Good,D,SI2,0.629,0.54,6.136,50.8776
0.3,Ideal,J,VS1,0.597,0.57,6.227,50.37736
1.6,Premium,J,VS1,0.613,0.59,9.109,259.09408
0.33,Premium,G,VVS2,0.595,0.6,6.623,55.5282
0.9,Premium,G,SI2,0.621,0.58,8.085,141.254816
0.32,Ideal,F,SI2,0.617,0.56,6.579,53.454492
1.01,Premium,D,SI2,0.588,0.59,8.449,166.36213999999998
0.55,Premium,D,SI1,0.619,0.6,7.504,86.29186200000001
0.51,Premium,E,VS2,0.61,0.6,7.412,83.117056
1.07,Very Good,H,SI1,0.5920000000000001,0.61,8.545,174.76067
1.0,Premium,E,SI1,0.626,0.6,8.62,158.81985
1.71,Very Good,E,SI1,0.634,0.56,9.545,271.743
0.32,Ideal,G,IF,0.617,0.54,6.822,54.014168000000005
1.0,Ideal,H,SI1,0.619,0.57,8.491,163.118169
1.2,Very Good,H,SI1,0.629,0.56,8.703,195.24432
0.92,Premium,H,SI2,0.604,0.59,8.063,154.191204
0.54,Ideal,E,VVS2,0.616,0.56,7.929,89.64269999999999
0.59,Ideal,D,VS1,0.609,0.56,7.685,96.76128
0.29,Ideal,E,VS2,0.601,0.56,6.428,48.5212
1.04,Ideal,G,SI2,0.62,0.57,8.361,175.40886
0.41,Very Good,I,VVS2,0.635,0.57,6.967,67.62627199999999
0.32,Ideal,I,VVS1,0.622,0.53,6.354,54.28644
0.39,Very Good,G,VVS2,0.621,0.55,6.774,63.871590000000005
0.43,Very Good,E,VS2,0.628,0.56,6.889,70.53658200000001
0.7,Very Good,E,SI1,0.631,0.56,7.792,114.160746
1.5,Good,I,I1,0.626,0.63,8.438,235.6163
0.61,Ideal,G,VS1,0.618,0.56,7.621,100.279068
1.01,Ideal,D,SI1,0.63,0.57,8.716,163.88012399999997
1.4,Very Good,G,VVS2,0.634,0.59,9.361,225.060352
1.02,Very Good,F,SI1,0.628,0.55,8.576,165.84256000000002
0.4,Very Good,G,SI1,0.616,0.59,6.554,63.566128000000006
0.97,Ideal,H,VS2,0.629,0.56,8.506,159.47262999999998
0.38,Ideal,E,VS1,0.616,0.56,6.974,61.573512
0.4,Ideal,E,SI2,0.613,0.56,6.444,66.29860000000001
0.52,Very Good,G,VVS2,0.632,0.57,7.514,83.58733600000002
0.32,Premium,H,VS1,0.606,0.6,6.579,52.35648000000002
1.18,Ideal,I,VS1,0.622,0.57,8.622,190.33996800000003
0.43,Good,E,SI1,0.632,0.57,6.605,70.331008
0.32,Premium,I,VVS1,0.601,0.61,6.628,52.082800000000006
0.37,Ideal,E,VS1,0.616,0.547,6.787,60.831255000000006
0.91,Premium,E,SI2,0.61,0.58,8.201,151.92460799999998
0.9,Premium,H,VS1,0.63,0.62,8.253,139.2174
0.32,Premium,I,VS2,0.628,0.58,6.356,51.657333
1.14,Very Good,I,SI1,0.635,0.56,8.474,182.51472400000003
0.3,Premium,H,VS2,0.63,0.59,6.41,49.045425
0.42,Ideal,F,SI2,0.621,0.56,6.746,69.32016
1.02,Ideal,D,VVS2,0.622,0.59,9.356,165.6344
0.51,Very Good,F,VVS1,0.626,0.57,7.707,82.06308
0.3,Ideal,D,VS2,0.615,0.55,6.565,49.7553
0.5,Ideal,D,SI1,0.608,0.56,7.411,82.108416
1.17,Ideal,G,VS2,0.614,0.56,8.929,192.252429
1.14,Premium,F,SI1,0.596,0.58,8.705,186.7212
0.53,Very Good,G,VS1,0.602,0.55,7.451,87.8724
0.59,Ideal,D,SI2,0.624,0.58,7.258,96.602275
0.5,Premium,D,SI1,0.612,0.6,7.411,81.888938
0.41,Ideal,F,VS1,0.623,0.55,6.981,68.08793399999999
0.7,Very Good,I,VS1,0.614,0.57,7.738,115.571456
0.52,Very Good,F,VVS2,0.589,0.6,7.632,85.92890000000001
0.32,Good,H,VVS2,0.634,0.56,6.469,52.345608
1.0,Good,E,SI2,0.633,0.56,8.264,160.67268
0.3,Ideal,G,VVS1,0.618,0.57,6.639,50.47833600000001
0.83,Premium,J,SI1,0.593,0.59,7.612,136.99868
0.38,Premium,G,VS1,0.606,0.58,6.974,61.10601599999999
1.51,Good,G,SI1,0.633,0.58,9.219,239.40576
1.51,Very Good,G,VVS2,0.636,0.57,9.51,243.49248
0.24,Very Good,F,VVS1,0.635,0.54,6.184,38.808
0.7,Good,E,SI1,0.636,0.62,7.786,110.7316
1.76,Ideal,I,VS1,0.62,0.57,9.369,285.845166
0.54,Ideal,G,VS1,0.607,0.57,7.729,89.04128
0.3,Premium,G,VVS1,0.627,0.59,6.921,47.93160399999999
0.31,Ideal,H,IF,0.614,0.56,6.671,52.271730000000005
1.52,Very Good,I,SI1,0.62,0.58,9.176,248.22412000000003
0.6,Ideal,G,VS2,0.621,0.57,7.465,97.50108
0.7,Very Good,I,SI1,0.638,0.59,7.544,110.84416
0.31,Premium,F,VS2,0.624,0.58,6.438,50.50458
0.72,Very Good,J,VS2,0.622,0.58,7.615,115.53972
0.43,Ideal,I,VS1,0.618,0.55,7.105,72.21424
0.3,Ideal,D,VS2,0.61,0.55,6.565,50.02882
0.4,Ideal,H,VS2,0.616,0.57,6.685,64.966914
0.51,Premium,G,VS1,0.623,0.59,7.485,82.125824
2.0,Premium,G,SI2,0.607,0.6,9.29,322.79677200000003
0.75,Ideal,E,SI1,0.608,0.56,8.021,124.967541
0.32,Premium,H,SI1,0.63,0.59,6.382,51.846554000000005
0.71,Ideal,E,SI1,0.605,0.56,7.946,114.72548700000002
0.5,Very Good,E,SI1,0.609,0.58,7.194,81.78767999999998
1.16,Ideal,H,VS1,0.624,0.56,8.878,189.21327700000003
0.52,Good,G,IF,0.598,0.57,7.646,86.710472
0.59,Ideal,G,VS1,0.621,0.55,7.61,96.4926
1.04,Ideal,I,SI1,0.613,0.57,8.447,171.77556799999996
0.76,Ideal,F,SI2,0.611,0.55,7.812,126.86652000000002
0.73,Premium,J,VS1,0.613,0.61,7.619,119.962744
1.02,Premium,F,VS1,0.628,0.58,8.946,166.10048000000003
0.42,Ideal,G,VS1,0.613,0.57,6.825,67.59589199999999
0.34,Premium,I,SI1,0.6,0.58,6.129,55.81576
0.71,Ideal,H,VS1,0.608,0.57,8.08,116.653446
1.09,Premium,H,SI2,0.617,0.6,8.429,175.782978
1.52,Very Good,F,SI2,0.621,0.58,9.165,241.396452
1.18,Ideal,E,I1,0.616,0.56,8.332,194.029682
0.27,Ideal,G,SI2,0.623,0.55,5.889,44.820468
0.3,Ideal,I,SI2,0.619,0.56,5.905,49.59792
0.53,Ideal,F,VS2,0.622,0.55,7.409,86.23288800000002
0.88,Very Good,E,SI2,0.591,0.58,8.055,144.9882
1.15,Ideal,H,SI1,0.616,0.55,8.868,190.838382
0.7,Premium,D,SI1,0.598,0.57,7.859,114.65937
0.42,Ideal,E,VVS1,0.62,0.55,7.191,69.464577
0.31,Premium,H,VS1,0.624,0.58,6.548,49.967288
0.41,Ideal,F,VS2,0.627,0.57,7.009,67.37601200000002
1.0,Ideal,G,VS2,0.621,0.57,8.797,162.35473800000003
0.63,Premium,F,SI1,0.591,0.57,7.459,104.85887999999998
1.2,Ideal,I,VS1,0.621,0.565,8.734,196.74576
0.44,Ideal,G,VVS2,0.618,0.56,6.986,73.58624
0.37,Very Good,E,VS2,0.606,0.58,6.629,60.36723
0.51,Very Good,G,VVS2,0.629,0.57,7.536,83.655168
1.56,Premium,D,SI2,0.611,0.56,9.089,257.27234
0.9,Premium,D,SI2,0.588,0.59,8.183,144.208896
0.3,Ideal,H,VVS2,0.619,0.56,6.295,48.88402
0.3,Ideal,E,VVS2,0.628,0.55,6.594,49.921920000000014
0.39,Ideal,E,I1,0.628,0.57,6.485,62.51436600000001
0.7,Very Good,G,VS2,0.596,0.6,7.824,113.59474000000002
0.3,Ideal,G,IF,0.626,0.57,6.797,49.737024000000005
0.4,Good,I,IF,0.623,0.62,6.851,64.86082400000001
1.21,Very Good,F,SI2,0.627,0.57,8.574,195.07245
0.53,Very Good,D,VVS2,0.611,0.55,7.813,88.472736
1.7,Premium,I,SI1,0.598,0.59,8.961,274.03684000000004
1.86,Ideal,J,VS2,0.626,0.56,9.241,309.704175
0.73,Ideal,H,SI2,0.623,0.56,7.731,118.360528
0.7,Good,D,VS2,0.639,0.58,8.017,112.267368
0.36,Ideal,H,VVS1,0.618,0.56,6.677,60.6993
2.0,Good,I,VS2,0.635,0.59,9.608,319.57107
1.01,Good,G,VS2,0.636,0.56,9.228,157.103856
0.32,Ideal,J,VS2,0.621,0.54,6.223,53.28532800000001
1.5,Premium,I,VS2,0.623,0.6,9.157,234.57375
1.2,Premium,G,SI2,0.624,0.58,8.674,191.816441
1.22,Premium,F,VVS2,0.63,0.56,9.259,199.98784
0.9,Ideal,F,SI1,0.624,0.56,8.292,148.76125199999998
0.4,Premium,H,SI1,0.626,0.58,6.751,64.943424
0.41,Very Good,H,SI1,0.629,0.58,6.526,66.307032
1.03,Ideal,I,SI1,0.613,0.56,8.313,169.09500300000002
1.7,Premium,I,VS2,0.619,0.56,9.249,263.8725
0.7,Good,F,VVS1,0.599,0.62,8.073,111.699252
0.51,Ideal,D,VS2,0.621,0.56,7.54,84.112644
0.35,Ideal,E,VVS1,0.607,0.57,7.018,57.137796
0.3,Ideal,D,VS2,0.614,0.55,6.565,49.871808
1.2,Premium,H,SI2,0.624,0.61,8.551,195.768432
0.28,Ideal,G,VVS2,0.616,0.56,6.373,45.29448000000001
1.39,Premium,G,SI1,0.613,0.59,8.986,228.28806000000003
0.73,Ideal,D,SI2,0.624,0.56,7.895,118.90008199999998
1.56,Premium,I,SI1,0.617,0.59,8.876,250.92590400000003
0.77,Good,I,VS1,0.6409999999999999,0.55,7.689,126.77524
0.55,Premium,E,SI1,0.612,0.59,7.347,89.25840000000001
0.4,Ideal,F,VS2,0.62,0.59,6.965,66.276765
1.05,Premium,G,IF,0.606,0.6,9.088,172.752237
0.7,Premium,I,VS2,0.63,0.6,7.584,110.897774
0.32,Ideal,F,VS1,0.619,0.56,6.554,51.98864000000001
1.01,Premium,G,I1,0.611,0.61,8.011,161.54908
1.0,Premium,D,SI2,0.609,0.59,8.573,162.321712
1.3,Premium,D,SI1,0.622,0.58,8.913,202.580532
0.39,Premium,I,VVS2,0.63,0.56,6.917,63.351288
0.21,Very Good,E,VS2,0.632,0.54,5.956,34.65503999999999
1.21,Ideal,H,VS2,0.626,0.5479999999999999,8.913,197.558352
0.76,Ideal,J,VVS2,0.62,0.57,7.681,123.248692
0.28,Ideal,F,IF,0.614,0.57,6.668,46.631
0.41,Premium,H,SI1,0.618,0.59,6.892,67.91335199999999
0.32,Premium,G,IF,0.599,0.58,6.861,51.88858999999999
1.07,Premium,J,VS2,0.628,0.57,8.349,173.598414
0.56,Very Good,E,SI1,0.628,0.5760000000000001,7.414,92.729592
1.25,Premium,H,VS1,0.593,0.57,8.931,210.5271
1.51,Ideal,H,VS2,0.622,0.57,9.344,243.132435
0.73,Premium,H,VS1,0.617,0.58,7.811,116.4306
0.38,Ideal,G,SI1,0.613,0.56,6.501,61.622985
1.01,Ideal,E,SI1,0.598,0.6,8.657,165.78432
0.71,Ideal,I,SI1,0.623,0.53,7.749,117.89224800000002
0.34,Premium,H,VS2,0.624,0.6,6.535,54.041904
0.7,Very Good,H,SI1,0.635,0.57,7.653,113.585446
0.23,Premium,E,VS2,0.624,0.6,6.24,37.30272
0.73,Ideal,F,VVS2,0.622,0.54,8.069,119.7265
0.38,Ideal,I,VVS2,0.62,0.545,6.644,63.380660000000006
1.7,Ideal,F,SI1,0.597,0.57,9.292,271.427355
0.36,Ideal,E,VS1,0.614,0.54,6.727,60.142311
1.36,Premium,I,SI2,0.627,0.58,8.675,219.368136
0.31,Ideal,I,VS1,0.619,0.54,6.443,51.32484
0.53,Ideal,G,VVS2,0.614,0.57,7.575,87.63107400000001
0.4,Premium,E,SI1,0.613,0.59,6.851,64.24643400000001
1.07,Ideal,D,IF,0.609,0.54,9.743,182.872944
0.31,Very Good,H,SI1,0.631,0.57,6.351,51.06574199999999
0.32,Ideal,D,VVS1,0.617,0.55,6.973,53.454492
1.03,Good,F,SI2,0.59,0.59,8.393,167.73239999999998
0.31,Ideal,D,VS2,0.621,0.56,6.848,50.9733
1.55,Premium,H,VS2,0.604,0.6,9.31,246.317568
0.91,Ideal,H,VS2,0.626,0.57,8.302,150.25514
1.01,Premium,H,IF,0.621,0.59,8.81,165.89079999999998
1.22,Premium,I,SI1,0.612,0.59,8.588,199.27614
0.3,Good,D,SI1,0.638,0.57,6.564,50.00895899999999
0.32,Very Good,F,SI2,0.635,0.56,6.292,52.656315
1.04,Premium,G,VVS2,0.618,0.58,8.999,168.89999699999996
1.01,Very Good,F,IF,0.619,0.59,9.257,163.36947000000004
0.55,Very Good,J,SI1,0.625,0.57,6.872,89.44365599999999
0.49,Very Good,G,VS2,0.601,0.56,7.088,81.636255
0.3,Premium,I,VVS1,0.626,0.6,6.314,48.5673
0.52,Ideal,G,VS1,0.619,0.55,7.451,85.53216
0.3,Good,H,SI1,0.634,0.57,6.043,50.058064
0.6,Ideal,I,SI1,0.622,0.58,7.202,97.323195
1.53,Premium,H,SI1,0.61,0.61,9.274,249.73890000000003
0.34,Premium,I,VVS2,0.613,0.57,6.64,56.01364799999999
0.7,Premium,F,SI1,0.629,0.59,7.793,113.12217
0.27,Very Good,F,VVS1,0.597,0.59,6.299,44.38131799999999
0.24,Very Good,E,VS2,0.635,0.53,6.038,39.717216
1.04,Ideal,G,VS2,0.613,0.57,8.86,171.77556799999996
1.36,Premium,I,VS2,0.593,0.58,8.702,221.048506
0.4,Very Good,E,VS1,0.618,0.56,6.959,66.472812
0.42,Ideal,G,VVS1,0.614,0.56,7.119,68.767608
0.35,Good,F,SI2,0.638,0.56,6.382,56.81760000000001
0.72,Premium,D,SI1,0.605,0.57,8.022,122.320575
0.31,Ideal,I,VS2,0.599,0.57,6.075,50.68536
1.5,Premium,I,SI2,0.629,0.57,8.721,241.53729600000003
1.34,Ideal,G,VS1,0.627,0.57,9.217,221.42911999999995
1.14,Ideal,F,SI2,0.617,0.56,8.432,184.841041
0.39,Very Good,F,SI1,0.6,0.55,6.494,65.209144
0.8,Fair,G,SI2,0.612,0.58,7.717,128.64779199999998
0.81,Ideal,F,SI2,0.621,0.56,8.103,132.447
0.28,Ideal,D,VS2,0.624,0.57,6.188,45.60192
0.52,Ideal,H,VS1,0.617,0.55,7.418,86.19424000000001
1.01,Premium,G,VVS2,0.619,0.58,8.76,164.542752
0.35,Very Good,I,VS2,0.629,0.57,6.196,57.8934
0.34,Ideal,G,VS2,0.622,0.53,6.39,56.119734
1.33,Premium,H,SI2,0.619,0.58,8.559,216.084652
0.32,Ideal,G,VS1,0.612,0.56,6.469,53.183208
0.32,Ideal,E,I1,0.607,0.57,6.194,52.789905000000005
0.5,Ideal,D,VS2,0.619,0.59,7.445,81.44955
1.02,Ideal,G,VS2,0.628,0.57,8.727,167.290744
0.77,Premium,F,VS1,0.621,0.6,8.115,120.89304
0.62,Very Good,F,SI2,0.631,0.52,7.206,102.833115
0.52,Ideal,G,VS1,0.623,0.55,7.504,85.13690399999999
0.77,Very Good,J,SI1,0.623,0.58,7.499,126.326364
0.57,Premium,D,VS2,0.604,0.57,7.482,93.25692
0.51,Ideal,D,VS2,0.619,0.56,7.54,83.261318
0.31,Premium,E,SI1,0.5920000000000001,0.6,6.299,50.10512
0.31,Ideal,D,SI1,0.611,0.56,6.347,50.988456000000006
1.53,Ideal,E,SI2,0.61,0.55,9.278,253.89
0.52,Premium,G,SI1,0.607,0.59,7.155,85.610088
0.7,Premium,G,VS2,0.613,0.58,7.862,114.1112
0.4,Premium,G,VVS2,0.62,0.58,6.89,64.77494399999999
0.3,Ideal,I,VS1,0.61,0.56,6.159,50.56527
0.51,Very Good,G,VS2,0.634,0.55,7.274,81.44576
0.32,Premium,H,VVS1,0.609,0.58,6.842,52.43348
1.19,Very Good,G,VVS2,0.618,0.59,9.07,191.01555
0.38,Ideal,D,VS1,0.623,0.54,6.891,63.2432
0.34,Premium,F,VS1,0.6,0.59,6.808,57.22353
0.28,Ideal,H,IF,0.63,0.55,6.373,45.448092
0.32,Ideal,H,VS1,0.625,0.55,6.43,52.134264
0.26,Very Good,D,VS2,0.596,0.63,6.04,42.43657600000001
0.31,Ideal,H,VVS1,0.62,0.542,6.492,51.75151499999998
0.5,Very Good,F,VS1,0.588,0.6,7.413,82.1548
0.31,Very Good,D,SI2,0.631,0.54,6.385,52.15485
0.5,Very Good,G,VVS2,0.624,0.56,7.452,81.80501999999998
0.73,Ideal,G,SI1,0.609,0.57,8.036,120.65917499999998
1.02,Ideal,I,SI2,0.607,0.57,8.257,171.01184400000002
1.0,Premium,F,SI2,0.614,0.61,8.466,163.5616
1.0,Very Good,G,VVS1,0.634,0.57,9.001,161.840376
0.58,Premium,G,VVS2,0.597,0.59,7.647,95.35320000000002
0.54,Ideal,G,VVS2,0.608,0.56,7.524,90.278496
1.02,Premium,F,SI1,0.614,0.58,8.588,164.48572800000002
0.7,Ideal,E,SI1,0.617,0.55,7.918,115.697162
0.33,Very Good,G,VS2,0.606,0.61,6.361,54.268834000000005
1.51,Very Good,H,VVS2,0.631,0.56,9.141,246.00066400000003
0.91,Very Good,F,SI1,0.623,0.6,8.306,142.46352000000002
1.0,Very Good,E,VVS2,0.595,0.59,9.12,167.82948
0.38,Ideal,E,VVS1,0.615,0.56,7.051,63.21312
0.56,Ideal,F,VS1,0.617,0.56,7.557,91.852992
1.25,Ideal,D,VS2,0.626,0.56,9.204,201.590532
1.08,Ideal,H,SI2,0.612,0.574,8.426,175.978764
0.38,Ideal,E,VVS2,0.619,0.5379999999999999,6.978,63.5158
0.32,Ideal,F,VS2,0.624,0.57,6.4,53.35770000000001
0.33,Ideal,G,VVS2,0.625,0.54,6.623,54.359865000000006
0.52,Ideal,G,VVS1,0.61,0.57,7.585,85.38712
1.01,Good,G,VS2,0.62,0.61,8.612,157.711686
0.41,Ideal,H,VVS2,0.625,0.56,6.801,67.151106
0.38,Very Good,F,SI1,0.615,0.54,6.492,63.839811000000005
1.5,Premium,H,SI2,0.622,0.6,8.963,238.563792
0.42,Premium,E,VS2,0.61,0.59,6.931,68.96215
0.7,Premium,E,SI1,0.619,0.6,7.831,110.81448
1.1,Ideal,G,SI1,0.623,0.56,8.561,180.00774399999997
0.74,Ideal,J,SI1,0.617,0.56,7.582,122.35859999999998
1.32,Ideal,G,VVS2,0.623,0.57,9.343,213.633024
0.51,Very Good,E,VS1,0.596,0.56,7.518,84.578316
1.71,Very Good,F,VS2,0.635,0.59,9.534,266.11685
0.42,Very Good,G,SI1,0.616,0.61,6.532,68.339888
1.01,Very Good,E,SI1,0.615,0.6,8.589,161.63377199999996
1.01,Ideal,E,SI1,0.619,0.56,8.625,165.992379
0.5,Premium,F,SI2,0.599,0.6,7.026,83.76847199999999
0.52,Ideal,F,SI1,0.604,0.56,7.267,87.370272
0.91,Ideal,J,VS1,0.619,0.56,8.259,148.23193
0.9,Very Good,D,SI1,0.617,0.6,8.404,143.95844
1.13,Ideal,I,VS1,0.618,0.57,8.851,184.28886
0.57,Premium,F,SI1,0.611,0.6,7.136,93.94444800000002
0.31,Good,H,VVS2,0.636,0.56,6.438,50.77877600000001
0.35,Ideal,F,VVS1,0.613,0.55,6.999,58.34919999999999
0.32,Ideal,E,VS1,0.611,0.56,6.569,53.30299
0.71,Ideal,G,VS1,0.623,0.54,8.069,115.33807999999998
0.3,Good,D,VVS2,0.635,0.58,6.668,49.406823
0.7,Ideal,F,SI2,0.626,0.53,7.606,116.192076
0.34,Ideal,E,SI1,0.612,0.57,6.457,55.56320000000001
0.38,Very Good,F,SI2,0.601,0.6,6.468,63.40299999999999
0.41,Very Good,G,VS2,0.614,0.5920000000000001,6.701,66.665704
1.56,Ideal,G,VVS2,0.625,0.55,9.656,255.45752
0.26,Ideal,F,VS1,0.621,0.54,6.426,43.559936
0.33,Ideal,H,VVS1,0.615,0.56,6.593,55.06985
0.7,Premium,F,SI1,0.613,0.59,7.793,114.1112
0.53,Ideal,F,VS2,0.611,0.54,7.412,89.597788
0.27,Very Good,E,VS2,0.63,0.57,6.153,44.733312000000005
0.52,Ideal,G,VVS2,0.622,0.56,7.553,84.70656000000001
0.34,Ideal,G,VS1,0.613,0.55,6.8,57.17347999999999
0.3,Good,G,SI2,0.633,0.57,5.976,49.11300000000001
0.7,Very Good,J,SI1,0.62,0.56,7.39,114.284456
1.01,Ideal,G,VS2,0.618,0.56,8.699,164.80782
0.71,Very Good,D,VS2,0.631,0.58,8.078,116.02521
0.57,Premium,F,SI1,0.595,0.6,7.424,95.060838
1.25,Ideal,G,VVS1,0.613,0.56,9.305,207.62708000000003
0.72,Good,J,VS1,0.637,0.54,7.58,117.731064
1.0,Very Good,F,VS1,0.621,0.6,8.837,160.928856
0.5,Ideal,I,VS2,0.625,0.55,7.126,81.483265
0.31,Ideal,D,VS1,0.605,0.55,6.777,51.92535899999999
1.3,Very Good,I,VS1,0.621,0.59,8.9,212.051098
0.53,Premium,F,SI1,0.62,0.59,7.264,86.89749600000002
0.38,Ideal,H,VS2,0.628,0.55,6.8,63.13740799999999
1.4,Good,D,SI1,0.638,0.6,9.062,216.801775
0.9,Good,F,SI1,0.593,0.56,8.298,147.806472
1.2,Very Good,J,VS2,0.631,0.56,8.35,193.063475
0.97,Premium,H,SI2,0.588,0.58,8.116,156.039912
0.56,Ideal,D,VS1,0.616,0.57,7.77,92.199939
0.4,Very Good,E,VS1,0.624,0.54,6.959,65.998875
0.33,Premium,G,VS1,0.628,0.58,6.75,53.31160799999999
0.72,Premium,J,VS1,0.63,0.56,7.536,116.432316
1.01,Very Good,D,I1,0.634,0.61,7.737,161.57987999999995
0.9,Very Good,E,VS2,0.611,0.63,8.309,144.60011999999998
0.72,Ideal,G,VS1,0.62,0.56,8.172,118.442604
0.32,Ideal,D,VS2,0.615,0.56,6.879,53.25868800000001
0.23,Ideal,F,VVS2,0.614,0.57,6.288,38.552976
1.5,Premium,E,SI2,0.63,0.59,9.113,236.003728
1.7,Premium,D,SI1,0.619,0.59,9.622,274.422688
0.3,Ideal,E,VS2,0.624,0.57,6.738,48.38433600000001
0.4,Ideal,G,IF,0.611,0.56,7.136,66.577168
1.05,Good,D,SI2,0.6,0.63,8.425,173.717672
1.08,Ideal,I,SI1,0.621,0.59,8.416,174.61154700000003
0.42,Ideal,H,VVS1,0.628,0.57,7.01,69.061741
0.3,Ideal,E,VS2,0.62,0.56,6.738,50.01416
0.35,Ideal,G,VS2,0.61,0.57,6.45,57.678884
0.71,Ideal,G,VVS1,0.612,0.56,8.298,118.26255
0.51,Ideal,F,VVS2,0.622,0.56,7.646,82.450432
1.5,Premium,I,SI2,0.608,0.58,8.926,235.417288
0.44,Ideal,E,VS2,0.624,0.57,6.978,72.9316
1.04,Ideal,H,SI2,0.622,0.56,8.313,170.426592
0.9,Very Good,H,SI1,0.617,0.57,8.235,149.66721
0.71,Very Good,D,VS2,0.628,0.56,8.021,115.37883
1.2,Premium,H,VS2,0.624,0.59,8.767,188.64930300000003
0.9,Very Good,H,VS2,0.63,0.61,8.263,142.64448
1.0,Ideal,D,SI1,0.625,0.55,8.804,162.404172
1.01,Very Good,H,SI2,0.588,0.58,8.335,168.754392
1.2,Ideal,G,SI1,0.622,0.58,8.816,195.877764
0.5,Premium,E,VS2,0.614,0.58,7.396,80.67384
0.31,Premium,G,VS1,0.621,0.58,6.295,50.549404
0.32,Ideal,G,VVS1,0.619,0.56,6.736,52.53952
0.75,Very Good,E,SI1,0.615,0.58,7.98,122.437668
1.24,Premium,H,SI2,0.599,0.6,8.647,206.388
0.71,Very Good,H,SI1,0.625,0.63,7.594,112.486274
0.3,Premium,D,VS2,0.623,0.58,6.815,49.66790400000001
0.25,Premium,E,VVS1,0.629,0.59,6.607,40.420296
0.74,Very Good,E,VS2,0.614,0.63,7.878,118.59946499999998
0.3,Ideal,E,I1,0.603,0.57,6.205,50.530656
0.85,Ideal,H,SI2,0.618,0.54,7.877,139.22152
0.52,Ideal,D,VS2,0.623,0.54,7.508,85.89865200000001
0.71,Premium,I,VS2,0.604,0.6,7.741,115.45247999999998
1.01,Good,G,SI2,0.638,0.53,8.339,164.21522599999997
1.01,Premium,G,SI1,0.596,0.61,8.449,163.253628
1.51,Very Good,J,SI1,0.588,0.59,8.929,249.611544
0.31,Ideal,G,VVS2,0.617,0.54,6.81,51.134748
1.13,Premium,I,SI2,0.622,0.59,8.291,182.086331
0.4,Ideal,F,VVS2,0.617,0.55,6.992,66.107832
0.75,Premium,I,SI1,0.625,0.58,7.66,121.564668
0.3,Ideal,F,VS1,0.624,0.56,6.512,49.78368
0.38,Ideal,F,VVS2,0.603,0.55,6.958,64.250186
0.7,Premium,F,VS2,0.63,0.61,7.882,111.60770399999998
1.21,Premium,F,SI2,0.615,0.57,8.464,202.6332
0.31,Very Good,I,SI1,0.628,0.6,6.035,49.92273
0.72,Ideal,I,VS2,0.621,0.58,7.761,117.213096
0.32,Ideal,F,VVS1,0.621,0.54,6.816,53.40862800000001
1.02,Ideal,G,SI2,0.614,0.54,8.389,171.25105999999997
0.53,Ideal,D,SI1,0.616,0.56,7.391,87.29916
0.82,Good,E,SI2,0.618,0.56,8.023,131.51344500000002
1.5,Fair,H,VS1,0.617,0.6,9.306,242.18114799999995
1.13,Ideal,G,VVS2,0.623,0.57,9.141,182.529288
0.34,Ideal,F,VS2,0.621,0.56,6.588,56.37139200000001
1.1,Very Good,H,SI2,0.598,0.6,8.425,182.79677
1.01,Ideal,F,VS1,0.622,0.56,9.113,165.376
1.11,Ideal,D,SI2,0.616,0.55,8.621,180.324828
1.18,Ideal,I,VVS1,0.597,0.54,8.761,200.73882000000003
0.3,Very Good,D,SI1,0.622,0.61,6.314,48.09008
