weight,quality,color,clarity,table_percent,price,depth_percent
0.32,Ideal,G,VS1,0.55,1.8670215370618484,0.613
0.41,Ideal,D,VS1,0.56,1.9827929666240312,0.619
0.7,Ideal,E,SI1,0.55,2.0629309895528465,0.624
0.8,Premium,G,VS2,0.59,2.0803161590904966,0.606
1.16,Good,J,VVS2,0.57,2.1599841243950233,0.616
0.32,Ideal,H,SI2,0.56,1.7984040119467235,0.614
0.32,Ideal,E,VS2,0.56,1.9172166865850035,0.622
0.92,Ideal,E,SI2,0.57,2.113722188156669,0.621
1.65,Premium,G,SI2,0.58,2.219964064305709,0.622
1.1,Ideal,H,SI1,0.57,2.136412437939462,0.625
0.3,Ideal,F,VVS2,0.57,1.8782429291161922,0.621
0.36,Ideal,F,IF,0.55,1.9603764345208963,0.622
1.18,Ideal,H,SI2,0.57,2.1462820985986446,0.612
0.41,Good,H,SI1,0.56,1.8757941981711288,0.638
1.25,Ideal,H,VS2,0.55,2.2025437388138194,0.611
0.53,Very Good,F,VS2,0.55,2.0010745126057308,0.606
0.36,Premium,D,VS2,0.58,1.9224952912171096,0.603
0.51,Ideal,D,VS2,0.56,2.00458328813541,0.615
1.7,Premium,I,VS2,0.59,2.2127697886716815,0.613
1.05,Ideal,F,VS2,0.54,2.1777019108473556,0.616
0.33,Premium,G,VS1,0.58,1.8719560112223317,0.623
0.33,Ideal,E,VS1,0.54,1.8937141917510485,0.617
0.95,Very Good,E,SI2,0.63,2.1002240808623642,0.587
0.77,Very Good,G,VS1,0.55,2.0898867995413744,0.609
1.7,Fair,F,SI2,0.57,2.2202898502672155,0.645
0.3,Very Good,F,VS2,0.58,1.8570789353486976,0.628
0.76,Ideal,E,VS2,0.55,2.1167373264235327,0.621
0.51,Ideal,H,SI2,0.55,1.9836187305024984,0.62
0.35,Fair,G,VS2,0.54,1.981690886336151,0.659
1.0,Premium,E,SI2,0.58,2.1348762485679367,0.611
0.37,Good,H,VS2,0.55,1.851599469584072,0.631
0.96,Very Good,G,VS1,0.63,2.1394777551238953,0.605
0.51,Ideal,D,VS2,0.56,2.013301739175291,0.609
0.34,Ideal,H,SI1,0.56,1.831941258860887,0.613
0.5,Ideal,E,VS1,0.55,2.0047179954838996,0.619
0.32,Very Good,F,VVS1,0.6,1.9059806133180779,0.628
1.22,Ideal,H,SI1,0.54,2.1763413664197953,0.622
0.58,Very Good,E,SI2,0.58,1.962626787088001,0.631
1.01,Very Good,H,SI1,0.59,2.1381820367024362,0.634
0.37,Ideal,E,VS2,0.53,1.9384538483788585,0.619
1.27,Very Good,I,SI1,0.6,2.175092572478769,0.63
0.42,Ideal,H,SI1,0.56,1.8796177097497393,0.627
0.54,Premium,E,VS1,0.58,2.0309075946839803,0.603
1.01,Very Good,E,VVS2,0.56,2.209921408130626,0.628
1.0,Good,G,VS1,0.59,2.1697391796606165,0.636
0.31,Very Good,E,VS2,0.56,1.8751810773671274,0.629
1.01,Fair,I,VS1,0.56,2.1093643553310906,0.652
1.03,Ideal,D,SI2,0.56,2.136412437939462,0.618
1.0,Fair,E,SI2,0.58,2.078065595499905,0.658
0.36,Very Good,F,SI1,0.58,1.8558291304680006,0.603
0.78,Ideal,G,SI2,0.55,2.043036859786036,0.619
0.59,Ideal,G,IF,0.58,2.0597489083341,0.595
0.3,Ideal,F,VVS1,0.55,1.9024059893151186,0.626
0.39,Ideal,I,VS2,0.56,1.8791596595088884,0.608
1.06,Very Good,G,VS1,0.58,2.180869334309949,0.62
1.24,Good,H,SI1,0.65,2.145463337221833,0.62
0.43,Premium,F,VS1,0.57,1.9500444481937682,0.61
1.03,Good,F,SI2,0.63,2.11842184132072,0.577
0.36,Premium,D,SI1,0.58,1.9089497366394585,0.604
3.01,Good,H,SI2,0.64,2.2855406583847873,0.576
0.54,Ideal,F,VS2,0.57,2.013301739175291,0.614
0.31,Very Good,G,VVS2,0.56,1.8811430303627406,0.621
0.72,Ideal,G,VVS2,0.57,2.0939606277790386,0.612
1.03,Very Good,G,I1,0.57,2.0826862718447248,0.624
0.39,Very Good,F,VS2,0.62,1.9037479711761023,0.584
1.16,Very Good,G,VVS1,0.56,2.2091531482014934,0.607
0.31,Ideal,F,VVS1,0.56,1.9265816950355004,0.621
0.39,Ideal,E,VVS1,0.58,1.9567087762975388,0.608
0.53,Ideal,D,VS2,0.56,2.025381264829892,0.614
1.54,Premium,J,VS1,0.61,2.1668799108286705,0.609
1.01,Good,H,SI2,0.61,2.138889000323256,0.63
0.9,Very Good,H,VS2,0.58,2.12022353540007,0.622
0.38,Ideal,G,VS2,0.545,1.8937141917510485,0.622
0.53,Ideal,D,SI1,0.57,2.007139629924431,0.612
0.36,Very Good,E,VS2,0.55,1.8977697737273784,0.628
0.3,Very Good,D,SI1,0.56,1.8816001732278445,0.634
1.01,Premium,H,SI2,0.6,2.133219247360307,0.603
0.38,Ideal,E,VVS1,0.56,1.959953929057249,0.618
0.54,Good,H,VVS2,0.5720000000000001,2.02035479922051,0.609
0.72,Ideal,F,VVS1,0.56,2.1432375997599125,0.608
0.37,Very Good,G,VVS2,0.6,1.9077631449843613,0.591
0.31,Ideal,D,VS1,0.57,1.8932625545585766,0.605
0.57,Ideal,I,SI1,0.54,1.9480507135544243,0.616
0.34,Good,G,SI1,0.58,1.8292158062720085,0.639
1.02,Ideal,H,SI2,0.57,2.0860446928134078,0.588
0.41,Ideal,G,SI1,0.56,1.8919064178329938,0.614
0.32,Ideal,E,SI1,0.54,1.831941258860887,0.616
0.35,Ideal,F,VS2,0.57,1.8809906029559975,0.624
0.78,Premium,D,SI1,0.59,2.0844290831908747,0.618
0.35,Ideal,F,SI1,0.56,1.8896420950299224,0.622
1.02,Premium,E,SI1,0.58,2.1483844119167457,0.627
1.7,Premium,H,SI1,0.61,2.238579763018133,0.618
0.7,Ideal,H,SI1,0.55,2.072291037650995,0.615
0.5,Fair,D,SI1,0.58,1.9724129689213126,0.646
0.7,Fair,G,I1,0.59,1.9483357762701516,0.647
0.22,Premium,D,VS2,0.62,1.7919261220073759,0.593
0.8,Ideal,H,VS2,0.57,2.0730461345909754,0.628
0.57,Very Good,E,VS2,0.57,2.0179649945780844,0.629
1.27,Ideal,F,VVS2,0.54,2.244955980157409,0.621
0.9,Very Good,F,VS2,0.58,2.1342847775623452,0.626
1.23,Premium,J,VS1,0.58,2.153388786631919,0.627
0.9,Ideal,H,VS2,0.58,2.127040520479115,0.619
0.39,Ideal,E,SI1,0.53,1.8837307477668652,0.621
0.9,Premium,G,SI1,0.6,2.108514789165543,0.613
0.57,Very Good,D,SI2,0.58,1.9789303600834471,0.621
0.33,Very Good,G,VVS1,0.55,1.8988185415214627,0.619
0.3,Good,E,VS2,0.63,1.8566104415476714,0.597
1.15,Ideal,H,SI2,0.56,2.14112442686742,0.62
1.21,Premium,I,VS2,0.58,2.162518104096927,0.623
0.3,Ideal,F,SI1,0.56,1.8136840266438468,0.623
0.95,Premium,E,SI1,0.59,2.1329823086078656,0.628
0.3,Very Good,H,VS2,0.59,1.8578592709325787,0.635
1.02,Premium,D,SI2,0.58,2.1352309633218773,0.603
0.56,Premium,D,SI1,0.59,2.0153029405635916,0.606
0.34,Ideal,D,VS2,0.55,1.937301774518713,0.621
0.53,Very Good,E,SI1,0.56,1.9726911717329554,0.633
1.64,Good,G,SI2,0.58,2.1832383353614797,0.638
1.07,Premium,F,SI1,0.58,2.1431203183430187,0.617
0.21,Premium,E,VS2,0.59,1.7843991148217626,0.605
1.12,Ideal,H,SI2,0.56,2.1495504568249837,0.634
0.71,Ideal,I,VS1,0.55,2.063947120721187,0.62
0.7,Very Good,H,VS1,0.57,2.0592388343623163,0.623
1.5,Very Good,E,SI2,0.59,2.215282764591249,0.621
0.25,Ideal,G,VS1,0.56,1.8112352457287118,0.626
1.58,Ideal,E,VS2,0.56,2.2683041590171715,0.627
0.41,Good,H,VS2,0.58,1.8911522131060898,0.634
1.09,Premium,F,VS1,0.6,2.189864222929927,0.613
1.2,Very Good,H,VS2,0.54,2.1711087302056598,0.632
0.48,Ideal,G,SI2,0.54,1.9073178098623274,0.62
1.24,Premium,D,SI2,0.59,2.1492007860946885,0.61
0.3,Ideal,E,SI1,0.57,1.826643871081557,0.611
1.54,Ideal,G,SI2,0.56,2.2130979264925097,0.617
1.24,Premium,G,VVS1,0.59,2.225488042609079,0.604
0.71,Premium,I,VS2,0.6,2.0498839894375105,0.629
1.03,Ideal,G,SI1,0.57,2.1430030231695807,0.609
0.41,Ideal,G,VVS1,0.55,1.9622052315418157,0.617
1.02,Ideal,F,VS1,0.56,2.1966688674024963,0.615
1.2,Ideal,I,VS2,0.57,2.1609063146621077,0.615
0.54,Ideal,H,VVS1,0.55,2.0245892901316855,0.618
0.51,Premium,D,VS2,0.58,1.9982314862542927,0.609
0.53,Very Good,E,VS2,0.55,1.9990446046078068,0.614
0.5,Ideal,E,SI2,0.57,1.9564260907832889,0.63
1.5,Good,H,VS2,0.6,2.1981130713973345,0.643
0.35,Very Good,G,VS1,0.61,1.8809906029559975,0.607
1.28,Ideal,F,VVS2,0.56,2.248023305001363,0.623
0.31,Premium,I,SI1,0.58,1.7975758545494949,0.596
0.9,Good,G,SI1,0.59,2.1071782966514356,0.631
0.5,Premium,F,SI1,0.61,1.9683703064140479,0.627
1.19,Good,G,VVS2,0.61,2.208713877383975,0.611
1.0,Good,D,VS2,0.58,2.170424189391707,0.641
0.39,Very Good,F,VVS2,0.58,1.9407540219059427,0.635
1.0,Premium,F,SI1,0.59,2.1487343681757856,0.627
1.01,Very Good,I,SI2,0.63,2.1091216957812464,0.614
0.78,Good,E,SI2,0.57,2.0507848324300313,0.64
1.56,Premium,E,SI2,0.6,2.2212665718164573,0.624
1.07,Premium,D,IF,0.58,2.2838099376677117,0.609
1.37,Ideal,I,SI2,0.56,2.17065242173322,0.622
0.36,Ideal,E,SI1,0.57,1.863614906328483,0.614
0.42,Good,G,VVS1,0.55,1.9627672661217361,0.636
0.41,Premium,G,VS2,0.56,1.9411847160479818,0.61
0.7,Good,F,VS2,0.61,2.061786606441115,0.626
0.55,Ideal,D,SI1,0.56,2.015702700712829,0.606
1.31,Ideal,E,VS1,0.55,2.227753782371042,0.617
1.5,Very Good,F,SI2,0.6,2.201659174404085,0.623
0.7,Good,G,VVS2,0.61,2.082187767347861,0.611
1.4,Premium,I,VVS2,0.58,2.2021015544157234,0.62
0.73,Ideal,F,VS1,0.57,2.1092430329166256,0.612
1.01,Good,F,SI2,0.57,2.112392641819522,0.643
0.59,Fair,H,SI2,0.57,1.940897607231769,0.65
1.05,Very Good,G,SI2,0.54,2.1247733516779195,0.632
1.08,Ideal,H,SI1,0.59,2.158483749019789,0.606
1.41,Premium,D,SI2,0.56,2.1806434221888034,0.611
0.59,Very Good,D,VS2,0.56,2.0273584618096105,0.592
1.03,Ideal,F,VVS1,0.57,2.215828229067764,0.626
0.71,Premium,F,VS1,0.59,2.0732977069193463,0.627
0.41,Ideal,D,VVS1,0.55,1.9778240123008441,0.617
0.32,Very Good,E,VS2,0.54,1.8800755502766229,0.62
0.4,Very Good,E,SI1,0.59,1.8875240912124343,0.628
0.5,Ideal,E,VS2,0.57,2.0009393135248783,0.625
0.34,Very Good,F,VS1,0.6,1.8988185415214627,0.611
1.59,Very Good,I,SI2,0.58,2.1862759705936625,0.619
0.72,Ideal,F,VS2,0.56,2.0625496740096176,0.611
0.63,Fair,H,SI2,0.61,1.9627672661217361,0.647
1.34,Ideal,I,SI2,0.55,2.158945642792435,0.613
1.71,Very Good,D,SI2,0.58,2.2376198141416865,0.621
0.7,Very Good,G,VS1,0.56,2.0578347879257772,0.608
0.5,Very Good,I,SI1,0.6,1.9401794743463283,0.628
0.71,Ideal,E,VS2,0.56,2.095068797565535,0.616
1.04,Ideal,D,IF,0.57,2.2597819706687363,0.618
0.3,Ideal,E,VS2,0.56,1.9077631449843613,0.622
0.31,Very Good,F,VS2,0.56,1.8622179328766164,0.629
0.24,Very Good,D,VVS1,0.6,1.8429277558024546,0.615
0.9,Very Good,E,VS2,0.59,2.1403014299365983,0.604
0.34,Ideal,E,SI1,0.56,1.8931119634883424,0.607
0.38,Ideal,E,VVS1,0.56,1.9662728435741978,0.623
1.03,Ideal,F,SI2,0.55,2.1344030997538104,0.616
2.03,Ideal,H,SI1,0.57,2.2757276388241627,0.629
0.54,Ideal,G,VVS2,0.54,2.027226770231097,0.615
0.7,Very Good,G,VVS2,0.59,2.073674946785499,0.629
0.73,Very Good,H,SI1,0.57,2.028279817583903,0.622
1.31,Ideal,G,VVS2,0.58,2.2397517838224767,0.613
0.34,Premium,G,VS2,0.6,1.8931119634883424,0.611
0.24,Very Good,E,VS2,0.58,1.798072831284647,0.615
0.9,Ideal,E,VS2,0.59,2.1518784755693425,0.62
0.51,Good,E,VS2,0.65,1.9825175603981098,0.611
0.72,Premium,J,SI1,0.57,1.9967390499145936,0.609
2.01,Good,H,SI1,0.59,2.2665433216467803,0.639
0.75,Ideal,H,SI1,0.57,2.0716613543608737,0.604
0.65,Very Good,H,SI2,0.56,1.9732473452734323,0.62
0.58,Ideal,J,VS2,0.57,1.958262119828119,0.628
0.62,Very Good,E,SI2,0.63,2.000533606574963,0.588
1.62,Premium,D,SI2,0.61,2.2112370535347403,0.612
0.73,Premium,F,SI1,0.58,2.058600875807984,0.617
0.3,Very Good,G,SI2,0.61,1.787751447830516,0.581
0.23,Very Good,F,IF,0.58,1.8362547091146062,0.595
0.33,Premium,H,VS1,0.59,1.8501855976966672,0.621
0.43,Ideal,I,VS1,0.53,1.8977697737273784,0.622
1.51,Premium,D,VS2,0.58,2.267061536924999,0.617
0.41,Ideal,D,VS1,0.57,1.9527438886338784,0.618
1.3,Premium,F,VS2,0.59,2.2212665718164573,0.604
0.7,Very Good,F,VS2,0.58,2.0721651327090598,0.595
1.2,Very Good,I,SI1,0.59,2.1536209398540875,0.626
0.42,Ideal,F,VS1,0.57,1.937013548547558,0.613
0.5,Fair,G,VS1,0.56,1.9651523952777084,0.676
1.56,Ideal,G,SI1,0.56,2.254129872724642,0.604
1.07,Premium,E,SI2,0.58,2.1407717968314417,0.597
0.41,Ideal,D,VS1,0.56,1.9527438886338784,0.621
0.34,Premium,G,VS2,0.58,1.8931119634883424,0.602
0.3,Ideal,E,VS2,0.56,1.8701084356390314,0.623
1.01,Very Good,F,SI1,0.57,2.157559320943788,0.635
1.5,Very Good,G,I1,0.61,2.1595227101522076,0.603
1.53,Ideal,H,SI1,0.57,2.227214785969269,0.611
0.74,Very Good,G,VS1,0.58,2.075809955445786,0.598
0.52,Ideal,E,VS2,0.54,2.0061985799121183,0.614
0.3,Ideal,F,VS2,0.55,1.8570789353486976,0.625
0.31,Ideal,D,VS1,0.55,1.913534526153976,0.618
0.33,Ideal,E,VS2,0.54,1.8756409532087572,0.624
0.4,Very Good,D,SI1,0.61,1.9211782499789523,0.631
0.71,Good,D,SI1,0.56,2.0678749053083707,0.631
0.43,Very Good,F,VS2,0.59,1.918098391271073,0.616
1.07,Very Good,E,VS1,0.6,2.1925469877851085,0.62
0.41,Ideal,F,VVS1,0.54,1.9602356191999566,0.618
1.2,Very Good,G,SI1,0.58,2.186612916741625,0.619
0.5,Ideal,D,VS2,0.57,2.0432960950434826,0.611
0.3,Ideal,D,VS2,0.56,1.8979196650564456,0.623
1.0,Very Good,D,VS2,0.63,2.183125652956718,0.615
0.4,Ideal,D,VS2,0.57,1.9300710850255671,0.616
0.42,Ideal,H,SI1,0.55,1.9148616663620384,0.617
0.54,Ideal,G,VVS2,0.56,2.027226770231097,0.61
0.35,Premium,G,SI1,0.6,1.8727248280511597,0.603
0.31,Ideal,G,VVS1,0.57,1.8994173439345647,0.605
0.34,Premium,E,SI1,0.58,1.8931119634883424,0.593
1.07,Ideal,G,SI2,0.57,2.102547530394311,0.608
0.44,Premium,E,VS2,0.58,1.9427623427645824,0.604
1.24,Ideal,H,VVS1,0.54,2.2024332110436045,0.623
0.34,Very Good,E,SI2,0.56,1.8193746362610284,0.629
0.42,Ideal,H,VVS1,0.56,1.9710207927254155,0.611
0.34,Very Good,G,VVS2,0.57,1.8823616139103359,0.603
1.04,Premium,D,SI2,0.59,2.137592518321866,0.61
0.25,Very Good,E,VVS2,0.58,1.8490845358473245,0.634
1.51,Premium,E,VS2,0.58,2.2597819706687363,0.593
0.37,Premium,F,VS2,0.58,1.889339797566919,0.619
0.9,Very Good,D,SI1,0.63,2.1154117854690666,0.611
0.3,Ideal,H,SI1,0.58,1.8097630936676299,0.609
1.24,Ideal,E,VS2,0.58,2.207394905990297,0.627
1.06,Ideal,E,VS2,0.55,2.192770226986839,0.618
0.8,Very Good,E,SI2,0.56,2.0717873227429764,0.625
1.13,Premium,G,SI1,0.58,2.1553603732375204,0.609
0.31,Premium,G,VVS1,0.59,1.9391732211168808,0.602
0.71,Ideal,G,SI1,0.55,2.0826862718447248,0.615
0.6,Ideal,G,VS1,0.56,2.0365340406685593,0.616
0.31,Premium,E,SI2,0.61,1.8443519193472255,0.608
0.36,Ideal,E,SI1,0.55,1.863614906328483,0.624
0.7,Fair,E,VS1,0.57,2.0786912602891316,0.645
0.71,Good,I,VS1,0.56,2.038359096578606,0.642
2.18,Ideal,I,VS2,0.57,2.254444717666111,0.62
0.24,Very Good,E,VVS2,0.57,1.8219653112851208,0.629
1.04,Ideal,F,SI2,0.54,2.1346397021445984,0.62
0.31,Ideal,H,VS2,0.57,1.823258136287426,0.626
1.21,Ideal,H,VS2,0.57,2.1658485694205747,0.63
0.77,Very Good,J,SI2,0.58,2.028279817583903,0.613
0.3,Ideal,H,VS1,0.57,1.8279306655328826,0.608
0.4,Premium,F,VVS2,0.59,1.9447666383532343,0.608
0.3,Ideal,D,VS1,0.57,1.8834266577538787,0.622
1.02,Ideal,G,VS1,0.55,2.182900250048066,0.616
0.33,Premium,D,VVS1,0.58,1.9595312450072784,0.618
0.91,Ideal,E,SI1,0.57,2.1349945008000852,0.61
0.71,Very Good,G,VS2,0.61,2.0568124236194745,0.604
1.32,Premium,F,VS1,0.59,2.2304444152163634,0.617
0.41,Good,H,SI1,0.56,1.9132393667657646,0.638
0.53,Ideal,F,VS1,0.56,2.016501741905962,0.612
0.71,Good,I,SI1,0.64,2.033790196260747,0.609
1.2,Ideal,I,SI1,0.53,2.1572124399782933,0.623
1.52,Premium,I,SI1,0.6,2.2069548619787955,0.605
0.41,Premium,D,VVS2,0.59,1.9470523536340902,0.619
0.26,Ideal,D,VVS2,0.56,1.855516435030806,0.625
0.74,Very Good,E,VS1,0.55,2.0942069938803094,0.634
0.36,Very Good,D,VS1,0.55,1.8985190057995887,0.628
1.06,Ideal,D,SI2,0.55,2.1456973374569013,0.623
0.33,Very Good,G,VS1,0.61,1.8719560112223317,0.601
0.4,Premium,J,IF,0.61,1.9414717424563819,0.622
0.51,Ideal,H,VS2,0.57,1.9843063465647972,0.608
0.31,Ideal,G,VVS2,0.55,1.8811430303627406,0.619
0.31,Ideal,G,VVS2,0.57,1.9082082818713018,0.627
1.01,Ideal,D,VS2,0.57,2.1900880617668994,0.606
0.34,Premium,H,VS1,0.58,1.8931119634883424,0.621
1.24,Premium,H,SI2,0.58,2.12811265114349,0.623
0.7,Ideal,G,VVS1,0.57,2.092234363478588,0.607
0.35,Ideal,G,SI2,0.56,1.8322614125373848,0.612
0.31,Ideal,E,VVS2,0.56,1.9296355765625612,0.612
1.52,Ideal,E,SI1,0.56,2.2506600201291262,0.621
0.5,Ideal,E,SI1,0.57,1.9644514770461665,0.606
1.16,Premium,D,I1,0.59,2.1042560980542744,0.618
1.5,Very Good,H,SI2,0.58,2.1942200683159205,0.63
0.9,Very Good,F,SI1,0.59,2.11842184132072,0.628
0.41,Ideal,E,SI2,0.55,1.8757941981711288,0.598
0.73,Premium,G,VS2,0.58,2.0691386486839387,0.607
1.08,Fair,J,VS2,0.54,2.114929334609389,0.651
1.52,Premium,D,SI2,0.58,2.2042001910726445,0.628
1.04,Ideal,G,VS1,0.55,2.190871103364044,0.607
0.27,Very Good,E,VVS1,0.58,1.860974538249528,0.615
0.43,Premium,G,VS2,0.59,1.9480507135544243,0.608
0.38,Ideal,E,SI1,0.55,1.8705706496523449,0.621
0.35,Ideal,F,VS1,0.57,1.897469923650169,0.624
0.44,Ideal,H,IF,0.56,1.9568500890936478,0.615
0.3,Very Good,F,SI1,0.57,1.8660936062807585,0.635
1.01,Premium,I,SI2,0.6,2.1076645006235757,0.617
0.54,Ideal,G,IF,0.56,2.044850096910217,0.623
0.38,Ideal,F,VVS1,0.54,1.9651523952777084,0.619
0.33,Premium,E,SI1,0.59,1.888734928351441,0.622
0.41,Premium,J,VVS1,0.58,1.9318112246758117,0.601
1.5,Premium,E,VS2,0.58,2.2590510909703174,0.595
0.39,Ideal,G,VVS2,0.57,1.9176576361034294,0.606
0.4,Premium,D,SI2,0.59,1.9096906420597335,0.604
0.3,Ideal,G,VVS1,0.54,1.8977697737273784,0.623
0.32,Ideal,G,VVS1,0.55,1.9074662769400255,0.624
0.58,Ideal,D,VS2,0.57,2.061659371884038,0.608
1.53,Fair,I,VS2,0.69,2.208823713179571,0.577
0.78,Ideal,G,VS2,0.56,2.103158068297152,0.617
0.54,Ideal,I,VS1,0.56,1.9523181453506435,0.615
0.4,Ideal,D,VS2,0.56,1.9300710850255671,0.604
0.51,Good,D,SI2,0.55,1.956284718053853,0.639
0.96,Fair,H,I1,0.6,2.007005248415124,0.671
1.02,Ideal,E,SI1,0.57,2.1564025828159643,0.622
0.31,Good,H,VS1,0.55,1.840390890639792,0.636
1.51,Ideal,I,VS2,0.57,2.1725902963778587,0.607
0.3,Very Good,G,VS1,0.58,1.8570789353486976,0.624
1.01,Premium,F,SI1,0.56,2.155244505095337,0.619
0.55,Very Good,I,VS2,0.57,1.9615022438151495,0.61
1.0,Premium,G,VS1,0.6,2.165504552445678,0.592
2.07,Good,I,VS2,0.61,2.2861507865306208,0.618
2.3,Ideal,H,SI2,0.54,2.282790465665866,0.626
0.24,Very Good,D,VVS2,0.58,1.8196988379172965,0.615
1.59,Premium,E,VS2,0.59,2.265090888566465,0.623
0.9,Premium,E,SI1,0.58,2.134166441369082,0.628
0.81,Premium,D,SI1,0.59,2.0907523328257027,0.624
0.32,Premium,G,IF,0.59,1.9258532037087537,0.594
0.3,Very Good,D,VVS2,0.56,1.8905484395028425,0.629
0.53,Ideal,G,VVS2,0.54,2.0155694650854254,0.625
0.54,Good,G,VS1,0.62,2.005525858729668,0.608
1.51,Very Good,H,VS2,0.57,2.23012192126033,0.632
0.42,Very Good,D,SI1,0.59,1.9016596649279132,0.608
0.7,Ideal,H,SI2,0.57,2.046401687601636,0.618
0.41,Good,F,VVS2,0.6,1.9552945489369535,0.586
0.58,Ideal,F,SI2,0.56,1.967671640836826,0.618
0.43,Ideal,H,VS1,0.55,1.9729692971693191,0.612
0.41,Premium,F,VS2,0.56,1.9471950375181877,0.611
0.83,Ideal,E,SI1,0.55,2.1104555952090056,0.623
0.52,Ideal,E,VS2,0.57,2.0154362117039235,0.626
1.0,Very Good,F,SI2,0.62,2.1229798436943192,0.616
0.38,Ideal,E,VVS2,0.57,1.9558604799084813,0.619
0.32,Premium,G,VS1,0.58,1.8670215370618484,0.621
1.51,Premium,E,SI1,0.55,2.2360178487219327,0.626
0.77,Ideal,E,SI1,0.56,2.080191260570382,0.625
0.41,Ideal,I,VVS1,0.55,1.9110228900548727,0.618
0.32,Ideal,H,VVS1,0.56,1.88129543453891,0.612
0.62,Ideal,G,VS2,0.55,2.0476928433652555,0.616
1.04,Ideal,F,SI1,0.57,2.136530508663963,0.622
0.3,Premium,E,VS2,0.58,1.8701084356390314,0.616
0.24,Very Good,F,IF,0.57,1.8427693901358,0.6
0.51,Fair,D,VS2,0.54,2.004044277207389,0.644
0.9,Ideal,J,SI1,0.56,2.0974042420540084,0.627
0.43,Ideal,E,SI2,0.57,1.9202992578332867,0.619
0.51,Ideal,D,VS2,0.56,2.007945539974766,0.629
1.02,Ideal,H,SI1,0.57,2.1223812921710925,0.63
1.27,Very Good,H,VS2,0.57,2.191765257888802,0.626
0.31,Ideal,D,VVS2,0.57,1.9300710850255671,0.619
0.52,Ideal,E,SI2,0.56,1.968789271576241,0.629
0.79,Very Good,D,SI2,0.59,2.0726686573924074,0.628
1.05,Fair,G,VS2,0.57,2.1567497447705013,0.656
0.31,Ideal,D,VS2,0.57,1.8869181224012845,0.622
0.33,Ideal,H,VS1,0.55,1.8583271801667258,0.615
0.9,Very Good,F,SI1,0.58,2.103524212195793,0.631
1.5,Good,G,I1,0.62,2.0874097113290127,0.574
0.7,Ideal,G,SI2,0.57,2.0426478808508235,0.614
1.5,Very Good,I,SI1,0.62,2.191876971009624,0.614
1.75,Ideal,I,VS2,0.56,2.24102878729494,0.61
0.9,Very Good,D,SI1,0.6,2.123936781566387,0.621
0.34,Premium,G,VS2,0.58,1.8547342683894434,0.602
0.87,Ideal,E,SI1,0.57,2.144643904925469,0.615
1.04,Premium,H,SI1,0.58,2.1394777551238953,0.595
2.05,Premium,J,VS1,0.58,2.263844264677615,0.601
1.1,Good,G,SI1,0.57,2.142064166158944,0.634
1.7,Premium,I,VS1,0.59,2.246226359324661,0.598
1.75,Good,D,SI1,0.57,2.247706431484056,0.639
1.51,Very Good,G,SI2,0.546,2.204310523725705,0.604
1.5,Good,J,SI1,0.56,2.17281803493498,0.645
1.52,Very Good,J,VS1,0.55,2.1987789242684563,0.622
0.51,Very Good,D,SI2,0.57,1.9591083822199498,0.603
0.4,Very Good,I,SI1,0.54,1.8931119634883424,0.632
0.56,Premium,D,VS2,0.58,2.0324809528163335,0.611
0.71,Very Good,I,VS2,0.57,2.0353590291096473,0.595
0.33,Ideal,G,VVS2,0.57,1.8905484395028425,0.601
0.23,Ideal,F,VS1,0.55,1.8415015611228691,0.614
0.3,Very Good,G,VS1,0.59,1.8570789353486976,0.623
0.5,Good,E,SI1,0.59,1.9450526386411842,0.642
0.4,Ideal,G,VVS1,0.56,1.9387416595767009,0.612
1.01,Premium,F,VVS2,0.6,2.2035379393928114,0.593
1.01,Very Good,F,VVS2,0.56,2.199444334074532,0.63
0.79,Very Good,D,SI1,0.57,2.0969130225918406,0.597
2.28,Ideal,J,VS1,0.542,2.273876928857302,0.626
0.7,Premium,F,SI1,0.59,2.049497665306764,0.625
1.61,Ideal,F,VS1,0.55,2.2788045643286425,0.62
1.46,Premium,G,VS1,0.58,2.2412414627529937,0.623
1.5,Very Good,G,VS1,0.63,2.2472837772089562,0.617
0.3,Ideal,E,VS1,0.57,1.8817525077547597,0.608
1.0,Premium,H,VS2,0.59,2.1493173565908283,0.626
0.77,Ideal,F,VS2,0.56,2.1004689088719113,0.618
0.71,Ideal,F,VS2,0.56,2.0998567264224284,0.615
2.07,Ideal,I,SI2,0.55,2.2722289729791467,0.621
1.53,Premium,J,VS1,0.59,2.196557688348516,0.601
0.34,Very Good,F,SI2,0.56,1.8489271422843963,0.635
0.81,Fair,F,SI2,0.57,2.0302512974890643,0.656
1.12,Ideal,I,SI1,0.58,2.137592518321866,0.617
0.5,Very Good,E,VS2,0.59,2.000533606574963,0.613
0.38,Premium,F,VVS1,0.58,1.958685340544036,0.616
0.56,Ideal,D,SI1,0.57,2.008482452739342,0.614
0.24,Very Good,F,VVS1,0.59,1.8427693901358,0.59
0.51,Premium,J,SI1,0.59,1.935571171260134,0.626
1.05,Premium,H,VS2,0.57,2.145931282948669,0.623
0.59,Ideal,H,VVS1,0.55,2.0403108244767973,0.621
0.32,Very Good,F,VS2,0.61,1.8670215370618484,0.595
0.72,Very Good,J,SI1,0.57,2.026040764952721,0.63
1.27,Very Good,J,VS2,0.6,2.1522272114054837,0.618
0.73,Premium,I,VS1,0.59,2.050398856227105,0.612
